2026-03-17 10:22 UTC,USDCHF,12288,124466.89,True,200,"{'Bull Trend': 46, 'Bear Trend': 0, 'High Volatility Expansion': 0, 'Low Volatility Compression': 11479, 'Value Gap Formation': 0, 'Mean Reversion Range': 0, 'Noise': 728}",OK
2026-03-24 02:43 UTC,EURUSD,12304,7,127243.74,-3107291027.61,-3107291850.12,True,200,"{'Bull Trend': 10542, 'Bear Trend': 33, 'High Volatility Expansion': 104, 'Low Volatility Compression': 1, 'Value Gap Formation': 1104, 'Mean Reversion Range': 360, 'Noise': 66}","{3: np.float64(-3100793656.0), 4: np.float64(-3100929469.0), 5: np.float64(-3074342640.0), 6: np.float64(-3103030311.0), 7: np.float64(-3107291028.0), 8: np.float64(-3040791388.0), 9: np.float64(-3100844999.0), 10: np.float64(-3105406311.0)}",OK
2026-03-24 02:43 UTC,GBPUSD,12307,3,127348.57,-3108833015.74,-3108833275.08,True,200,"{'Bull Trend': 10031, 'Bear Trend': 210, 'High Volatility Expansion': 1965}","{3: np.float64(-3108833016.0), 4: np.float64(-3108815659.0), 7: np.float64(-3054197887.0), 8: np.float64(-3049915444.0)}",OK
2026-03-24 02:43 UTC,USDJPY,12237,5,123468.32,-3013367179.32,-3013367690.57,True,200,"{'Bull Trend': 9957, 'Bear Trend': 141, 'High Volatility Expansion': 11, 'Low Volatility Compression': 1242, 'Value Gap Formation': 852}","{3: np.float64(-2999161480.0), 4: np.float64(-3012437565.0), 5: np.float64(-3013367179.0), 6: np.float64(-3010278769.0), 7: np.float64(-2962709264.0), 8: np.float64(-3004874048.0), 9: np.float64(-3001022495.0), 10: np.float64(-3006252800.0)}",OK
2026-03-24 02:43 UTC,USDCHF,12264,6,126314.17,-3088127956.56,-3088128616.15,True,200,"{'Bull Trend': 45, 'Bear Trend': 592, 'High Volatility Expansion': 906, 'Low Volatility Compression': 2, 'Value Gap Formation': 0, 'Mean Reversion Range': 10679}","{3: np.float64(-3078111070.0), 4: np.float64(-3075363934.0), 5: np.float64(-3078115065.0), 6: np.float64(-3088127957.0), 7: np.float64(-3018846817.0), 8: np.float64(-3028221429.0), 9: np.float64(-3033673273.0), 10: np.float64(-3081493624.0)}",OK
2026-03-25 02:48 UTC,EURUSD,12303,10,127396.68,-3110770370.04,-3110771770.52,True,200,"{'Bull Trend': 7, 'Bear Trend': 26, 'High Volatility Expansion': 26, 'Low Volatility Compression': 10706, 'Value Gap Formation': 50, 'Mean Reversion Range': 1, 'Noise': 276}","{3: np.float64(-3094871371.0), 4: np.float64(-3102875964.0), 7: np.float64(-3107170092.0), 8: np.float64(-3045261353.0), 9: np.float64(-3081371617.0), 10: np.float64(-3110770370.0)}",OK
2026-03-25 02:48 UTC,GBPUSD,12306,10,127604.44,-3114822558.26,-3114823958.67,True,200,"{'Bull Trend': 2, 'Bear Trend': 31, 'High Volatility Expansion': 140, 'Low Volatility Compression': 1, 'Value Gap Formation': 1056, 'Mean Reversion Range': 2, 'Noise': 10566}","{3: np.float64(-3107672430.0), 4: np.float64(-3107650175.0), 5: np.float64(-3105766549.0), 6: np.float64(-3049056709.0), 7: np.float64(-3112557574.0), 8: np.float64(-3052575829.0), 9: np.float64(-3107274792.0), 10: np.float64(-3114822558.0)}",OK
2026-03-25 02:48 UTC,USDJPY,12236,10,123510.94,-3014159215.96,-3014160616.33,True,200,"{'Bull Trend': 2, 'Bear Trend': 2, 'High Volatility Expansion': 34, 'Low Volatility Compression': 1, 'Value Gap Formation': 9, 'Mean Reversion Range': 1, 'Noise': 1159}","{3: np.float64(-2993183641.0), 4: np.float64(-3011688120.0), 5: np.float64(-2973733027.0), 6: np.float64(-3010448873.0), 7: np.float64(-3010799803.0), 8: np.float64(-3012631231.0), 9: np.float64(-3011335695.0), 10: np.float64(-3014159216.0)}",OK
2026-03-25 02:48 UTC,USDCHF,12263,6,126328.61,-3088228454.23,-3088229113.81,True,200,"{'Bull Trend': 3, 'Bear Trend': 6, 'High Volatility Expansion': 45, 'Low Volatility Compression': 10598, 'Value Gap Formation': 1014, 'Mean Reversion Range': 557}","{3: np.float64(-3029154809.0), 4: np.float64(-3029189662.0), 5: np.float64(-3032691254.0), 6: np.float64(-3088228454.0), 7: np.float64(-3028236628.0), 8: np.float64(-3032318443.0), 9: np.float64(-3026364820.0)}",OK
2026-03-26 02:54 UTC,EURUSD,12332,7,129690.59,-3174046499.82,-3174047322.57,True,200,"{'Bull Trend': 8, 'Bear Trend': 183, 'High Volatility Expansion': 50, 'Low Volatility Compression': 1003, 'Value Gap Formation': 1888, 'Mean Reversion Range': 8917, 'Noise': 188}","{3: np.float64(-3109246183.0), 4: np.float64(-3121107933.0), 6: np.float64(-3058553024.0), 7: np.float64(-3174046500.0), 8: np.float64(-3058420482.0), 9: np.float64(-3056923707.0), 10: np.float64(-3056654138.0)}",OK
2026-03-26 02:54 UTC,GBPUSD,12334,5,127783.02,-3125827585.41,-3125828096.82,True,200,"{'Bull Trend': 0, 'Bear Trend': 525, 'High Volatility Expansion': 189, 'Low Volatility Compression': 10187, 'Value Gap Formation': 1330}","{3: np.float64(-3114412208.0), 4: np.float64(-3064417974.0), 5: np.float64(-3125827585.0), 6: np.float64(-3117344431.0), 7: np.float64(-3119151124.0), 8: np.float64(-3062589968.0), 9: np.float64(-3118374749.0), 10: np.float64(-3121412566.0)}",OK
